OBJECTID,DATA_DATE,ROUTE_COMMON_NAME,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,AAWDT,AAWDT_QUALITY_CODE,FROM_JURISDICTION,TO_JURISDICTION,ROUTE_NAME,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,LINK_ID,Shape__Length
23541,2019/01/01 00:00:00+00,UR-6623N (City of Fairfax),SCL Fairfax,Barbara Ann Lane,6200,G,99.22429,0.24757,0.38785,0.10728,0.03301,0,C,6600,G,City of Fairfax,City of Fairfax,R-VA151UR06623NB,Northern Virginia,Northern Virginia,UR,627003,366.47395
23542,2019/01/01 00:00:00+00,UR-6623N (City of Fairfax),Barbara Ann Lane,SR 236 Main St,6300,G,99.22429,0.24757,0.38785,0.10728,0.03301,0,F,6700,G,City of Fairfax,City of Fairfax,R-VA151UR06623NB,Northern Virginia,Northern Virginia,UR,627004,647.38859
23543,2019/01/01 00:00:00+00,UR-3E (City of Fairfax),University Dr,Old Lee Hwy,5200,G,98.48641,0.58862,0.55859,0.15616,0.21022,0.01202,C,5500,G,City of Fairfax,City of Fairfax,R-VA151UR00003EB,Northern Virginia,Northern Virginia,UR,627019,620.2120081
23681,2019/01/01 00:00:00+00,UR-6627N (City of Fairfax),Armstrong St,South St,15000,G,96.39172,2.03892,1.38091,0.1174,0.07415,0.00309,F,16000,G,City of Fairfax,City of Fairfax,R-VA151UR06627NB,Northern Virginia,Northern Virginia,UR,627043,444.9931201
23683,2019/01/01 00:00:00+00,UR-6627N (City of Fairfax),SR 236 Main St,Whitehead St,11000,G,96.39172,2.03892,1.38091,0.1174,0.07415,0.00309,F,11000,G,City of Fairfax,City of Fairfax,R-VA151UR06627NB,Northern Virginia,Northern Virginia,UR,627045,459.3739262
23684,2019/01/01 00:00:00+00,UR-6627N (City of Fairfax),Whitehead St,Layton Hall Dr,9900,G,96.39172,2.03892,1.38091,0.1174,0.07415,0.00309,F,11000,G,City of Fairfax,City of Fairfax,R-VA151UR06627NB,Northern Virginia,Northern Virginia,UR,627046,252.4705695
23686,2019/01/01 00:00:00+00,UR-6627N (City of Fairfax),Layton Hall Rd,US 29 & 50; Lee Hwy,6700,G,96.39172,2.03892,1.38091,0.1174,0.07415,0.00309,F,7100,G,City of Fairfax,City of Fairfax,R-VA151UR06627NB,Northern Virginia,Northern Virginia,UR,627047,1461.087132
23776,2019/01/01 00:00:00+00,UR-6625N (City of Fairfax),SCL Fairfax,Sager Ave,9000,G,99.3358,0.21448,0.34594,0.05881,0.04151,0.00346,C,9500,G,City of Fairfax,City of Fairfax,R-VA151UR06625NB,Northern Virginia,Northern Virginia,UR,627040,700.4407892
23816,2019/01/01 00:00:00+00,UR-6625N (City of Fairfax),Sager Ave,SR 236 Main St,2700,G,99.3358,0.21448,0.34594,0.05881,0.04151,0.00346,F,2900,G,City of Fairfax,City of Fairfax,R-VA151UR06625NB,Northern Virginia,Northern Virginia,UR,627041,530.7472892
24105,2019/01/01 00:00:00+00,UR-6627N (City of Fairfax),South St,SR 236 Main St,11000,N,96.39172,2.03892,1.38091,0.1174,0.07415,0.00309,F,11000,N,City of Fairfax,City of Fairfax,R-VA151UR06627NB,Northern Virginia,Northern Virginia,UR,627051,244.4340995
